source	almaMmsId	hbzId	zdbId
mapping	990065883230206441	HT004956688	
mapping	990035264910206441	HT008771348	
mapping	990196802210206441	HT017643407	
mapping	990077377330206441	HT001763430	
mapping	99371210034106441	HT021265606	
mapping	990159767370206441	HT015269637	
mapping	990077377220206441	HT001763419	
mapping	990084636490206441	HT007534729	
mapping	990039474870206441	HT009586758	
mapping	990143568290206441	HT014623986	
mapping	990077668420206441	HT001863680	
mapping	990070502220206441	HT008428301	
mapping	990077377420206441	HT001763439	
mapping	990208427670206441	HT018683500	
mapping	990050930340206441	HT008771533	
mapping	990076205580206441	HT001462963	
mapping	990156107190206441	HT015019430	
mapping	990182671810206441	HT016566574	
mapping	990116066080206441	HT013281710	
mapping	990157412860206441	HT015119898	
mapping	990057278490206441	HT010566450	
mapping	99373492662006441	HT030632981	
mapping	990048022300206441	HT001366122	
mapping	99375068876906441	HT030899078	
mapping	990005193860206441	HT000592402	
mapping	990076598680206441	HT001541961	
mapping	990155649630206441	HT014973189	
mapping	990029385950206441	HT007626217	
mapping	990054641540206441	HT006838661	918177-5
mapping	990009714340206441	HT002722952	
mapping	99373226980406441	HT030398773	
mapping	990073019600206441	HT009896261	
mapping	990176636870206441	HT016058061	
mapping	990058290030206441	HT000450942	
mapping	990078415760206441	HT002233693	
mapping	990124855390206441	HT013937818	
mapping	990117815530206441	HT013458644	
mapping	990189915400206441	HT017087295	
mapping	99373492660006441	HT030633032	
mapping	990112232060206441	BT000177335	
mapping	990228599070206441	HT020051305	
mapping	990060993690206441	HT001220339	
mapping	990084449320206441	HT007365680	
mapping	990056799360206441	HT001330225	
mapping	990110567680206441	BT000009278	
mapping	990080129560206441	HT003678366	
mapping	990116663150206441	HT013342061	
mapping	990054584890206441	HT006196944	1176703-0
mapping	990118023880206441	HT013478460	
mapping	990078027410206441	HT002007416	
mapping	990078027420206441	HT002007417	
mapping	990059164410206441	HT000986243	
mapping	990215011820206441	HT019238079	
mapping	990124369280206441	HT013888637	
mapping	990077322280206441	HT001745335	
mapping	99372021616006441	HT021873528	
mapping	99371909908506441	HT030130779	
mapping	990208287000206441	HT018669416	
mapping	990062279470206441	HT002738335	
mapping	990078763530206441	HT002354208	
mapping	990076553800206441	HT001533365	
mapping	990052635640206441	HT001239403	
mapping	990077031260206441	HT001642270	
mapping	990088483170206441	HT009801675	
mapping	990076553790206441	HT001533364	
mapping	990085396700206441	HT008010086	
mapping	990057505940206441	HT002757027	
mapping	990058686950206441	HT000923825	
mapping	990059444720206441	HT001021854	
mapping	990115977090206441	HT013272689	
mapping	990209653700206441	HT018795282	
mapping	990088483180206441	HT009801676	
mapping	990054239130206441	HT002739233	212264-9
mapping	990077322310206441	HT001745338	
mapping	990079557850206441	HT003224803	
mapping	990054292030206441	HT003114439	640217-3
mapping	990205063750206441	HT018373011	
mapping	990055619360206441	HT007003669	715880-4
mapping	990062540470206441	HT002945798	
mapping	990047258950206441	HT011109060	
mapping	990061637080206441	HT002453681	
mapping	990197548360206441	HT017707990	
mapping	990061877830206441	HT002484459	
mapping	990060184520206441	HT001121018	
mapping	990058186980206441	HT000045309	
mapping	990003332870206441	HT000379651	
mapping	990214565980206441	HT019194363	
mapping	990001967250206441	HT000224756	
mapping	990077036220206441	HT001643902	
mapping	990076214670206441	HT001464896	
mapping	990111465630206441	BT000100027	
mapping	990005964400206441	HT000679548	
mapping	990076553810206441	HT001533366	
mapping	990057450890206441	HT001787913	
mapping	990182417780206441	HT016542035	
mapping	990054102530206441	HT001397829	402390-0
mapping	990182246380206441	HT016525495	
mapping	990144642530206441	HT014670532	
mapping	990068640580206441	HT007265096	
mapping	990077618250206441	HT001845419	
mapping	990052700430206441	HT001247562	
mapping	990077112090206441	HT001669785	
mapping	990077268580206441	HT001723863	
mapping	990077268670206441	HT001723872	
mapping	990057897370206441	HT006225394	
mapping	990076474800206441	HT001516634	
mapping	990034280750206441	HT008595947	
mapping	990066524120206441	HT005488098	
mapping	990124517200206441	HT013903616	
mapping	990078763500206441	HT002354205	
mapping	990367796450206441	HT020586287	
mapping	990068804020206441	HT007365844	
mapping	990078274500206441	HT002104798	
mapping	990214997730206441	HT019236712	
mapping	990044562680206441	HT010566355	
mapping	990063543020206441	HT003535186	
mapping	990070715340206441	HT008550421	
mapping	990075263870206441	HT001131806	
mapping	990077322290206441	HT001745336	
mapping	990192205050206441	HT017310646	
