zdbId	source
2100203-4	ALEPH
210114-2	ALEPH
210134-8	ALEPH
210136-1	ALEPH
2105895-7	ALEPH
210615-2	ALEPH
210621-8	ALEPH
210677-2	ALEPH
210678-4	ALEPH
210690-5	ALEPH
2106946-3	ALEPH
210861-6	ALEPH
210878-1	ALEPH
2110374-4	ALEPH
2112778-5	ALEPH
2113694-4	ALEPH
211394-6	ALEPH
211412-4	ALEPH
2114449-7	ALEPH
2114544-1	ALEPH
211476-8	ALEPH
2115606-2	ALEPH
2115847-2	ALEPH
211633-9	ALEPH
2117049-6	ALEPH
211833-6	ALEPH
211935-3	ALEPH
211966-3	ALEPH
211983-3	ALEPH
212016-1	ALEPH
212025-2	ALEPH
212117-7	ALEPH
212252-2	ALEPH
212264-9	ALEPH
212300-9	ALEPH
212302-2	ALEPH
2123664-1	ALEPH
212672-2	ALEPH
212735-0	ALEPH
212736-2	ALEPH
212845-7	ALEPH
212846-9	ALEPH
212849-4	ALEPH
212860-3	ALEPH
213046-4	ALEPH
2130735-0	ALEPH
2130755-6	ALEPH
2133259-9	ALEPH
213375-1	ALEPH
213426-3	ALEPH
2134266-0	ALEPH
213427-5	ALEPH
213516-4	ALEPH
2135933-7	ALEPH
213617-X	ALEPH
213618-1	ALEPH
2136534-9	ALEPH
2138825-8	ALEPH
213904-2	ALEPH
213934-0	ALEPH
2139626-7	ALEPH
214025-1	ALEPH
214031-7	ALEPH
214032-9	ALEPH
214043-3	ALEPH
214053-6	ALEPH
214082-2	ALEPH
214109-7	ALEPH
214221-1	ALEPH
214222-3	ALEPH
214223-5	ALEPH
214236-3	ALEPH
214248-X	ALEPH
2142505-X	ALEPH
214261-2	ALEPH
214301-X	ALEPH
214444-X	ALEPH
214446-3	ALEPH
214451-7	ALEPH
214518-2	ALEPH
214604-6	ALEPH
2147435-7	ALEPH
2148441-7	ALEPH
2148626-8	ALEPH
2149797-7	ALEPH
2152334-4	ALEPH
2155-6	ALEPH
2157-X	ALEPH
2157769-9	ALEPH
2158835-1	ALEPH
2160-X	ALEPH
216038-9	ALEPH
216166-7	ALEPH
216168-0	ALEPH
216169-2	ALEPH
2162087-8	ALEPH
2162362-4	ALEPH
2162675-3	ALEPH
216285-4	ALEPH
216333-0	ALEPH
216336-6	ALEPH
216338-X	ALEPH
216639-2	ALEPH
216640-9	ALEPH
216643-4	ALEPH
216690-2	ALEPH
216691-4	ALEPH
216710-4	ALEPH
216753-0	ALEPH
216786-4	ALEPH
216892-3	ALEPH
216897-2	ALEPH
216910-1	ALEPH
216922-8	ALEPH
216923-X	ALEPH
216932-0	ALEPH
216934-4	ALEPH
216974-5	ALEPH
217116-8	ALEPH
217193-4	ALEPH
217210-0	ALEPH
2173494-X	ALEPH
2173784-8	ALEPH
2175409-3	ALEPH
217568-X	ALEPH
217582-4	ALEPH
217799-7	ALEPH
217823-0	ALEPH
217826-6	ALEPH
217854-0	ALEPH
217855-2	ALEPH
217859-X	ALEPH
217951-9	ALEPH
217953-2	ALEPH
217979-9	ALEPH
217992-1	ALEPH
218002-9	ALEPH
2180058-3	ALEPH
218008-X	ALEPH
218013-3	ALEPH
218019-4	ALEPH
2181278-0	ALEPH
2183148-8	ALEPH
218375-4	ALEPH
218376-6	ALEPH
2183767-3	ALEPH
2183804-5	ALEPH
2183810-0	ALEPH
2183988-8	ALEPH
218456-4	ALEPH
218685-8	ALEPH
219045-X	ALEPH
2192102-7	ALEPH
2192618-9	ALEPH
2192885-X	ALEPH
2192976-2	ALEPH
2192992-0	ALEPH
219438-7	ALEPH
2194973-6	ALEPH
2195024-6	ALEPH
2195041-6	ALEPH
2195043-X	ALEPH
2195046-5	ALEPH
2195048-9	ALEPH
2195132-9	ALEPH
2195207-3	ALEPH
2195208-5	ALEPH
2195209-7	ALEPH
2196543-2	ALEPH
2196546-8	ALEPH
2196547-X	ALEPH
2196560-2	ALEPH
2196563-8	ALEPH
2196564-X	ALEPH
2196565-1	ALEPH
2196566-3	ALEPH
2196568-7	ALEPH
2196569-9	ALEPH
2196570-5	ALEPH
2196571-7	ALEPH
2196572-9	ALEPH
219668-2	ALEPH
219670-0	ALEPH
219671-2	ALEPH
2196848-2	ALEPH
2196854-8	ALEPH
2196863-9	ALEPH
2196929-2	ALEPH
2199322-1	ALEPH
219981-6	ALEPH
2200463-4	ALEPH
2200467-1	ALEPH
220081-8	ALEPH
2201380-5	ALEPH
2201873-6	ALEPH
220238-4	ALEPH
220432-0	ALEPH
220433-2	ALEPH
220445-9	ALEPH
220561-0	ALEPH
2206883-1	ALEPH
220731-X	ALEPH
220836-2	ALEPH
220837-4	ALEPH
2209412-X	ALEPH
2209719-3	ALEPH
2210423-9	ALEPH
2210537-2	ALEPH
221070-8	ALEPH
221322-9	ALEPH
2213627-7	ALEPH
2214765-2	ALEPH
2215-9	ALEPH
221503-2	ALEPH
2215581-8	ALEPH
221629-2	ALEPH
2217316-X	ALEPH
2217330-4	ALEPH
2217746-2	ALEPH
221812-4	ALEPH
2218245-7	ALEPH
221909-8	ALEPH
2221-4	ALEPH
222187-1	ALEPH
2224-X	ALEPH
2230692-4	ALEPH
2231938-4	ALEPH
223312-5	ALEPH
2233171-2	ALEPH
2233655-2	ALEPH
223461-0	ALEPH
2236450-X	ALEPH
223706-4	ALEPH
223707-6	ALEPH
223708-8	ALEPH
223716-7	ALEPH
223717-9	ALEPH
223731-3	ALEPH
223732-5	ALEPH
2237340-8	ALEPH
223738-6	ALEPH
2238112-0	ALEPH
223813-5	ALEPH
2239-1	ALEPH
223903-6	ALEPH
223911-5	ALEPH
223967-X	ALEPH
2240125-8	ALEPH
2240395-4	ALEPH
224051-8	ALEPH
224136-5	ALEPH
224195-X	ALEPH
2244-5	ALEPH
2246799-3	ALEPH
224711-2	ALEPH
2250008-X	ALEPH
2252581-6	ALEPH
2252627-4	ALEPH
2254001-5	ALEPH
2256970-4	ALEPH
2257162-0	ALEPH
2257764-6	ALEPH
2259555-7	ALEPH
2264398-9	ALEPH
2266216-9	ALEPH
2276-7	ALEPH
2276014-3	ALEPH
227647-1	ALEPH
2276558-X	ALEPH
2279406-2	ALEPH
2279477-3	ALEPH
2280868-1	ALEPH
2284046-1	ALEPH
2285209-8	ALEPH
2287664-9	ALEPH
2295798-4	ALEPH
2299456-7	ALEPH
2301784-3	ALEPH
2302174-3	ALEPH
2302940-7	ALEPH
2304072-5	ALEPH
2310005-9	ALEPH
2310766-2	ALEPH
2314027-6	ALEPH
2319974-X	ALEPH
2320167-8	ALEPH
2320277-4	ALEPH
2325580-8	ALEPH
2325717-9	ALEPH
2325983-8	ALEPH
2326035-X	ALEPH
2326195-X	ALEPH
2326808-6	ALEPH
2326967-4	ALEPH
232717-X	ALEPH
2328878-4	ALEPH
2329509-0	ALEPH
2330465-0	ALEPH
2332604-9	ALEPH
2334098-8	ALEPH
2336558-4	ALEPH
233660-1	ALEPH
2337769-0	ALEPH
2338265-X	ALEPH
2338268-5	ALEPH
2338280-6	ALEPH
2340066-3	ALEPH
2340612-4	ALEPH
2345020-4	ALEPH
2346-2	ALEPH
2347009-4	ALEPH
2347735-0	ALEPH
2348202-3	ALEPH
2350-4	ALEPH
2350828-0	ALEPH
2350898-X	ALEPH
23512-X	ALEPH
2352433-9	ALEPH
2353-X	ALEPH
2353767-X	ALEPH
2354084-9	ALEPH
2354345-0	ALEPH
2354504-5	ALEPH
2355125-2	ALEPH
2356317-5	ALEPH
2356726-0	ALEPH
2365929-4	ALEPH
2366179-3	ALEPH
236705-1	ALEPH
2367063-0	ALEPH
2367414-3	ALEPH
2368341-7	ALEPH
2368872-5	ALEPH
2368961-4	ALEPH
237002-5	ALEPH
237005-0	ALEPH
2370191-2	ALEPH
237084-0	ALEPH
237103-0	ALEPH
237119-4	ALEPH
237302-6	ALEPH
237803-6	ALEPH
237861-9	ALEPH
237862-0	ALEPH
2380493-2	ALEPH
238152-7	ALEPH
238400-0	ALEPH
2384879-0	ALEPH
238909-5	ALEPH
2389260-2	ALEPH
2389266-3	ALEPH
2392039-7	ALEPH
2393035-4	ALEPH
2393303-3	ALEPH
2394079-7	ALEPH
2394083-9	ALEPH
2394113-3	ALEPH
2396370-0	ALEPH
239643-9	ALEPH
239691-9	ALEPH
239692-0	ALEPH
240089-3	ALEPH
240100-9	ALEPH
240134-4	ALEPH
240214-2	ALEPH
240258-0	ALEPH
240348-1	ALEPH
240383-3	ALEPH
240384-5	ALEPH
240527-1	ALEPH
2405460-4	ALEPH
240751-6	ALEPH
240753-X	ALEPH
2407992-3	ALEPH
240917-3	ALEPH
240918-5	ALEPH
2410142-4	ALEPH
2411565-4	ALEPH
2412726-7	ALEPH
241312-7	ALEPH
241318-8	ALEPH
241352-8	ALEPH
2415244-4	ALEPH
2416584-0	ALEPH
2419-3	ALEPH
2419628-9	ALEPH
2420393-2	ALEPH
242235-9	ALEPH
2434063-7	ALEPH
243419-2	ALEPH
243432-5	ALEPH
243436-2	ALEPH
2435199-4	ALEPH
244017-9	ALEPH
244018-0	ALEPH
2441782-8	ALEPH
244425-2	ALEPH
2444444-3	ALEPH
244783-6	ALEPH
244900-6	ALEPH
2451462-7	ALEPH
2454709-8	ALEPH
2457615-3	ALEPH
2458237-2	ALEPH
2463958-8	ALEPH
2471227-9	ALEPH
2472-7	ALEPH
2475844-9	ALEPH
2476212-X	ALEPH
2476227-1	ALEPH
2477921-0	ALEPH
2483625-4	ALEPH
2484941-8	ALEPH
2484948-0	ALEPH
2488811-4	ALEPH
2488818-7	ALEPH
2493364-8	ALEPH
2496320-3	ALEPH
2501864-4	ALEPH
2507150-6	ALEPH
2512-4	ALEPH
2512929-6	ALEPH
2524745-1	ALEPH
2527004-7	ALEPH
2527277-9	ALEPH
2532-X	ALEPH
2534-3	ALEPH
253721-7	ALEPH
2538389-9	ALEPH
2540358-8	ALEPH
2541228-0	ALEPH
2544483-9	ALEPH
2544499-2	ALEPH
2544507-8	ALEPH
2544648-4	ALEPH
2544652-6	ALEPH
2544655-1	ALEPH
254684-X	ALEPH
254776-4	ALEPH
254847-1	ALEPH
2549119-2	ALEPH
2557176-X	ALEPH
2558489-3	ALEPH
25610-9	ALEPH
